Device name,Frame ID,Slot ID,Port ID,User Label,ONTs
HAC-ANT.APART-B1-MA5800,0,14,7,TRK ATI0 (APARTADO LA PAZ 26),23
HAC-ANT.APART-B1-MA5800,0,14,8,TRK ATI2 (APARTADO LA PAZ 28),23
HAC-ANT.APART-B1-MA5800,0,14,9,TRK ATI9 (APARTADO LA PAZ 35),7
HAC-ANT.APART-B1-MA5800,0,14,10,TRK ATH8 (APARTADO LA PAZ 24),26
HAC-ANT.APART-B1-MA5800,0,14,11,TRK ATF6 (APARTADO LA PAZ 2),43
HAC-ANT.APART-B1-MA5800,0,14,12,TRK ATG5 (APARTADO LA PAZ 11),35
HAC-ANT.APART-B1-MA5800,0,14,13,TRK ATG6 (APARTADO LA PAZ 12),32
HAC-ANT.APART-B1-MA5800,0,14,14,TRK ATH2 (APARTADO LA PAZ 18),28
HAC-ANT.APART-B1-MA5800,0,14,15,TRK ATJ4 (VILLA RIO RIVER),22
HAC-ANT.APART-B1-MA5800,0,15,0,TRK ATJ5 (QUINTAS PALMAR),35
HAC-ANT.APART-B1-MA5800,0,15,2,TRK ATJ7 (ATJ7),0
HAC-ANT.APART-B1-MA5800,0,15,3,TRK ATK0 (RESERVA BACOTA-1),34
HAC-ANT.APART-B1-MA5800,0,15,4,TRK ATK2 (COMFENALCO-1),22
HAC-ANT.APART-B1-MA5800,0,15,5,TRK ATK5 (VILLA RIO ETP 2-3),21
HAC-ANT.APART-B1-MA5800,0,15,6,TRK ATK6 (TORRES GUALCALA),19
HAC-ANT.APART-B1-MA5800,0,15,7,TRK ATK7 (TULIPANES-1),41
HAC-ANT.APART-B1-MA5800,0,15,8,TRK ATK8 (RINCON ROBLE 1),45
HAC-ANT.APART-B1-MA5800,0,15,9,TRK ATK4 (COMFENALCO-3),24
HAC-ANT.APART-B1-MA5800,0,15,10,TRK ATJ8 (HELICONIAS APTOS),35
HAC-ANT.APART-B1-MA5800,0,15,11,TRK ATK1 (RESERVA BACOTA-2),32
HAC-ANT.APART-B1-MA5800,0,15,13,TRK ATK9 (RINCON ROBLE 2),40
HAC-ANT.APART-B1-MA5800,0,15,14,TRK ATJ9 (HELICONIAS-3),30
HAC-ANT.APART-B1-MA5800,0,15,15,TRK ATJ8 (HELICONIAS-2),37
HAC-ANT.APART-B1-MA5800,0,16,0,TRK ATM8 (RESERVA BACOTA-3),28
HAC-ANT.APART-B1-MA5800,0,16,1,TRK ATM9 (VILLA RIO ETP 2-3-2),27
HAC-ANT.APART-B1-MA5800,0,16,2,TRK ATN0 (RINCON ROBLE 3),22
HAC-ANT.APART-B1-MA5800,0,16,3,TRK ATL0 (CC PLAZA DEL RIO),6
HAC-ANT.APART-B1-MA5800,0,16,4,TRK ATL1 (CC PLAZA DEL RIO-2),6
HAC-ANT.APART-B1-MA5800,0,16,5,TRK ATL2 (CC PLAZA DEL RIO-3),25
HAC-ANT.APART-B1-MA5800,0,16,6,TRK ATL3 (CC PLAZA DEL RIO-4),0
HAC-ANT.APART-B1-MA5800,0,16,7,TRK ATK3 (COMFENALCO-2),29
HAC-ANT.APART-B1-MA5800,0,16,8,TRK ATL4 (BARRIO ESTADIO-1),32
HAC-ANT.APART-B1-MA5800,0,16,9,TRK ATL5 (BARRIO ESTADIO-2),26
HAC-ANT.APART-B1-MA5800,0,16,10,TRK ATN2 (BARRIO ESTADIO-3),31
HAC-ANT.APART-B1-MA5800,0,16,11,TRK ATN3 (BARRIO ESTADIO-4),28
HAC-ANT.APART-B1-MA5800,0,16,12,TRK ATN4 (BARRIO ESTADIO-5),32
HAC-ANT.APART-B1-MA5800,0,16,13,TRK ATN5 (BARRIO ESTADIO-6),23
HAC-ANT.APART-B1-MA5800,0,16,14,TRK ATN6 (BARRIO ESTADIO-7),22
HAC-ANT.APART-B1-MA5800,0,17,0,TRK ATSP04 (APARTADO A-254),26
HAC-ANT.APART-B1-MA5800,0,17,1,TRK ATSO90 (APARTADO A-241),22
HAC-ANT.APART-B1-MA5800,0,17,2,TRK ATSO96 (APARTADO A-247),34
HAC-ANT.APART-B1-MA5800,0,17,3,TRK ATSO88 (APARTADO A-239),22
HAC-ANT.APART-B1-MA5800,0,17,4,TRK ATSO89 (APARTADO A-240),28
HAC-ANT.APART-B1-MA5800,0,17,5,TRK ATSO95 (APARTADO A-246),14
HAC-ANT.APART-B1-MA5800,0,17,6,TRK ATSP10 (APARTADO A-260),42
HAC-ANT.APART-B1-MA5800,0,17,7,TRK ATSP17 (APARTADO A-267),35
HAC-ANT.APART-B1-MA5800,0,17,8,TRK ATSO98 (APARTADO A-249),34
HAC-ANT.APART-B1-MA5800,0,17,9,TRK ATSO99 (APARTADO A-250),28
HAC-ANT.APART-B1-MA5800,0,17,10,TRK ATSP02 (APARTADO A-252),34
HAC-ANT.APART-B1-MA5800,0,17,11,TRK ATSP03 (APARTADO A-253),30
HAC-ANT.APART-B1-MA5800,0,17,12,TRK ATSP15 (APARTADO A-265),35
HAC-ANT.APART-B1-MA5800,0,17,13,TRK ATSP16 (APARTADO A-266),34
HAC-ANT.APART-B1-MA5800,0,17,14,TRK ATSP19 (APARTADO A-269),32
HAC-ANT.APART-B1-MA5800,0,17,15,TRK ATSP12 (APARTADO A-262),43
HAC-ANT.BARB-B1-MA5800,0,1,0,TRK BA01 (BARBOSA 1),19
HAC-ANT.BARB-B1-MA5800,0,1,1,TRK BA02 (BARBOSA 2),18
HAC-ANT.BARB-B1-MA5800,0,1,2,TRK BA03 (BARBOSA 3),32
HAC-ANT.BARB-B1-MA5800,0,1,3,TRK BA04 (BARBOSA 4),32
HAC-ANT.BARB-B1-MA5800,0,1,4,TRK BA05 (BARBOSA 5),7
HAC-ANT.BARB-B1-MA5800,0,1,5,TRK BA06 (BARBOSA 6),13
HAC-ANT.BARB-B1-MA5800,0,1,6,TRK BA07 (BARBOSA 7),14
HAC-ANT.BARB-B1-MA5800,0,1,7,TRK BA08 (BARBOSA 8),17
HAC-ANT.BARB-B1-MA5800,0,1,8,TRK BA09 (BARBOSA 9),31
HAC-ANT.BARB-B1-MA5800,0,1,9,TRK BA10 (BARBOSA 10),25
HAC-ANT.BARB-B1-MA5800,0,1,10,TRK BA11 (BARBOSA 11),39
HAC-ANT.BARB-B1-MA5800,0,1,11,TRK BA12 (BARBOSA 12),21
HAC-ANT.BARB-B1-MA5800,0,1,12,TRK BA13 (BARBOSA 13),32
HAC-ANT.BARB-B1-MA5800,0,1,13,TRK BA14 (BARBOSA 14),35
HAC-ANT.BARB-B1-MA5800,0,1,14,TRK BA15 (BARBOSA 15),20
HAC-ANT.BARB-B1-MA5800,0,1,15,TRK BA16 (BARBOSA 16),23
HAC-ANT.BARB-B1-MA5800,0,2,0,TRK BA17 (BARBOSA 17),32
HAC-ANT.BARB-B1-MA5800,0,2,1,TRK BA18 (BARBOSA 18),33
HAC-ANT.BARB-B1-MA5800,0,2,2,TRK BA19 (BARBOSA 19),25
HAC-ANT.BARB-B1-MA5800,0,2,3,TRK BA20 (BARBOSA BA20),18
HAC-ANT.BARB-B1-MA5800,0,2,4,TRK BA21 (BARBOSA BA21),5
HAC-ANT.BARB-B1-MA5800,0,2,5,TRK BA22 (BARBOSA BA22),9
HAC-ANT.BARB-B1-MA5800,0,2,6,TRK BA23 (BARBOSA BA23),27
HAC-ANT.BARB-B1-MA5800,0,2,7,TRK BA24 (BARBOSA BA24),28
HAC-ANT.BARB-B1-MA5800,0,2,8,TRK BA25 (BARBOSA 25),34
HAC-ANT.BARB-B1-MA5800,0,2,9,TRK BA26 (BARBOSA BA26),31
HAC-ANT.BARB-B1-MA5800,0,2,10,TRK BA27 (BARBOSA BA27),31
HAC-ANT.BARB-B1-MA5800,0,2,11,TRK BA28 (BARBOSA BA28),32
HAC-ANT.BARB-B1-MA5800,0,2,12,TRK BA29 (BARBOSA BA29),24
HAC-ANT.BARB-B1-MA5800,0,2,13,TRK BA30 (BARBOSA BA30),59
HAC-ANT.BARB-B1-MA5800,0,2,14,TRK BA31 (BARBOSA BA31),30
HAC-ANT.BARB-B1-MA5800,0,2,15,TRK BA32 (BARBOSA BA32),23
HAC-ANT.BARB-B1-MA5800,0,3,0,TRK BA33 (BARBOSA BA33),41
